page,text,left,top,width,height
6,"mentioned in book auctions and catalogues, is now becoming noted and",151,457,798,29
6,"any collector interested in their books' personal history, will find much",150,490,799,29
6,"of interest in The Bookplate Society publications, as it delves into allied",151,523,798,29
6,"interests of heraldry, printing, engraving and graphic arts. The bookplate",150,556,799,30
6,"is often a work of art, SO it is not surprising that when the British Museum/",151,590,798,29
6,"Library split, the Bookplate collection donated by Franks and others",150,623,799,29
6,should reside with prints and drawings.,150,657,424,29
6,"A similar anniversariant is THE OXFORD GUILD OF PRINTERS, which",179,690,770,25
6,last year celebrated its fortieth birthday. Since 2013 it has circulated to,150,722,799,30
6,"its entire membership (which now stands at 140) an autumnal package,",150,757,798,29
6,"eagerly awaited, of letterpress ephemera produced by its members during",150,790,799,29
6,the year. In this delightful bouquet may be found in every font under the,151,823,799,29
6,"sun a running commentary on politics, social affairs, the health of the book",150,857,799,30
6,trade and the prowess (as it has latterly been) of the England cricket team.,151,890,797,30
6,"Alas, in the latest newsletter from Liz Adams, the Editor, comes the news",151,922,798,26
6,that the OGP is entering a state of dormancy owing not to the lack of,151,956,803,30
6,money (hooray!) but to the absence of volunteers for the positions of Chair,151,990,799,29
6,and Secretary. Hands up anyone?,151,1023,360,29
6,Despite his first purchase having been the greatest penance that was ever,150,1123,799,29
6,"heaped upon a student, Green's four-volume History of England, CLAR-",151,1156,797,30
6,ENCE WOLF has gone on to become one of America's most renowned,151,1190,797,29
6,booksellers. Last year he published in a privately printed edition Fifty,150,1223,799,30
6,"Years a Bookseller : or, The Wolf at Your Door. Although it is principally",153,1257,796,30
6,"concerned with American people and events, its appeal will be universal",151,1290,799,29
6,for the book trade is nothing if not international. The contents are extraor-,150,1323,798,29
6,dinarily congenial and much as you'd expect from the title. It has three,151,1357,798,29
6,"faults. One is the absence of an index, with consequences that need no ex-",151,1390,798,29
6,"planation. The second, which is related to the first, is that the book appears",151,1422,799,30
6,to be an assembly of characters and incidents that the reader knows for sure,151,1456,799,29
6,will be connected and in some way form a coherent story if only he or she,151,1489,799,29
6,could but locate the connections. One can only use SO many bookmarks,151,1522,798,29
6,144,531,1598,38,18
6,SIGNATURE,529,1596,42,23
7,EARLY BOOKS AND EARLY READERS AT NOSTELL PRIORY,198,120,702,15
7,"of Nicholas de Lyra, now in the Thomas Fisher Library, Toronto",151,173,798,32
7,"University. In 2012, Peter Kidd identified a further important frag-",152,210,797,33
7,"ment. Los Angeles Public Library holds one quire of eight leaves,",151,247,797,32
7,"with sewing thread still intact, one partial quire of six leaves, and",151,284,797,33
7,"twelve individual leaves, some of them consecutive, others isolated,",151,323,796,28
7,from a 13th-century miscellany associated with the Priory. The,151,360,799,32
7,"fragments survive with a portion of their original binding, and the",151,398,799,32
7,front and rear pastedowns. 3,151,434,326,32
7,"It is difficult to say anything with certainty about the creation,",178,473,770,32
7,"housing and use of monastic books at Nostell, as SO little contextual",151,510,799,32
7,"evidence survives, either locally or nationally. Only ten book lists",151,547,798,33
7,"from Augustinian foundations in England are known, and with the",151,585,799,31
7,"exception of Llanthony Secunda Priory in Gloucester, where some",151,623,799,32
7,"140 books are recorded, only ten Augustinian houses have more than",152,660,797,32
7,"ten volumes surviving from their libraries.4 The Priory of Merton,",151,696,797,33
7,"for example, was one of the largest in England and its Registrum lists",151,735,799,32
7,"more than 230 titles, yet today only twenty-nine volumes survive,",151,773,797,32
7,"while Leicester Abbey owned more than 1,000 volumes, of which",151,810,799,32
7,fewer than twenty are known.,151,847,362,32
7,5,513,846,9,14
7,The Augustinian rule was not prescriptive in its approach to the,178,885,772,32
7,"conduct of religious life, leading to variation in approaches to the",151,922,798,33
7,chapter of the rule concerned with reading and writing. In England,151,960,798,32
7,"2. Desiderius Erasmus, De ratione studii ac legendi (Col: Argentorati: apud Iohannem",150,1034,799,26
7,"Heruagium, 1524), Purgatio aduersus epistolam non sobriam Martini Luteri (Parisiis : apud",150,1064,799,26
7,"Ioannem Roigny, 1534), De puritate ecclesiae Christianae (Parisiis: ex officina Christiani",150,1093,799,25
7,"Wecheli, 1536), and De sarcienda ecclesiae concordia (Parisiis : excudebat Christianus",151,1122,798,25
7,"Wechelus, 1533). University of Wales Trinity Saint David, Roderic Bowen Library",151,1151,798,25
7,"and Archives; Founders Library, ODS 02691, inscribed: 'Pertinet ad dominum Sancti",150,1181,799,24
7,"Oswaldi de Nostell'. Biblia latina (Nuremberg: Anton Koberger, [1486-]87 - ISTC",151,1209,797,26
7,"iboo614000), Toronto University Library, RB 9689, inscribed: 'Restat Monasterio",151,1239,798,25
7,"sancti Oswaldi de Nostell'. Both are recorded in N. R. Ker, Medieval Libraries of Great",150,1268,800,25
7,"Britain A List of Surviving Books. Supplement to the Second Edition, edited by Andrew G.",151,1296,796,26
7,"Watson (London: Royal Historical Society, 1987), p. 51.",154,1326,519,25
7,"3. Los Angeles Public Library. The manuscript is currently uncatalogued, SO does not",151,1356,799,26
7,have a shelf mark. The author is extremely grateful to Peter Kidd for generously shar-,150,1384,799,26
7,"ing his research notes on the Los Angeles Miscellany, see: https://mssprovenance.blog",150,1413,788,27
7,pot.com/2012/I2/an-unknown-ms-from-nostell-priory.html,158,1443,577,26
7,"4. T. Webber and A. G. Watson, eds, The libraries of the Augustinian Canons, Corpus of",150,1472,803,25
7,"British medieval library catalogues, vol. 6, pp. xxii-xxiii.",151,1500,530,26
7,"5. The libraries of the Augustinian Canons, p. xxvii.",150,1531,458,25
7,45,537,1609,26,18
7,SIGNATURE,536,1606,26,24
8,6.18,234,196,70,29
8,SUMMA phinning,717,202,194,43
8,Stephen C (am,227,253,186,48
8,PHILOSOPHLE,603,251,352,39
8,Books.,284,284,97,37
8,"QUADRIPARTITA,",629,295,300,35
8,"De rebus Dialecticis, Ethicis, Phyfi-",603,333,349,39
8,davips sudams,199,349,221,78
8,"dis, & Metaphyficis ;",667,363,212,37
8,Autore,739,404,79,25
8,1697,385,417,53,37
8,F R. BUSTACHIO,605,431,347,34
8,"A S. Paulo, ex Congregatione",615,466,321,34
8,Impos Came,198,483,171,69
8,Borke GST,399,480,146,53
8,"Fulienfi, Ordinis Cifter-",646,494,254,32
8,cienfis,738,526,82,25
8,16zy,213,580,68,39
8,Infuntis mendis reparges,675,568,193,31
8,the,614,619,42,30
8,Slophea,582,702,98,48
8,RESYROD,780,737,86,35
8,Borbe,894,741,60,30
8,J,812,758,62,48
8,Baglamin,882,782,65,31
8,"CANTABRIGINE,",698,834,144,24
8,Ex officina Regist DARIELTS almz Acade.,595,850,349,31
8,mia Typographi. 010.10c.xu,645,874,251,27
8,Fig. 7: The ownership inscriptions of Joseph Ludlam (c. .1626-1678) and Stephen,176,1453,747,47
8,Ludlam (1658-1722) and an example of the price inscription found on all Ludlam,172,1484,756,45
8,books (©National Trust Images/Robert Thrift).,323,1519,453,37
9,THE BOOK COLLECTOR,409,120,282,15
9,of a college library in the American colonies. Unlike the Harvard,151,173,798,32
9,"Catalogus of 1723, which Thomas Hollis criticised for being ordered",153,210,797,32
9,"only by initial letter, Yale's catalogue was fully alphabetised and",151,248,798,32
9,"also categorised 'under proper Heads' - that is, by subject as well as",150,284,798,32
9,by author.,151,323,123,31
9,Whether or not the Yale catalogue was actively used to solicit,179,360,770,32
9,donations is unclear - considering the abundance of positive,151,398,799,32
9,"evidence for other printed pieces, perhaps it was not - but it was",150,435,799,32
9,"certainly designed more for users than for donors, representing an",151,473,798,32
9,important departure from the approach of the Harvard Catalogus.,151,510,797,32
9,Thomas Clap's preface is not grandiloquent and aimed at those,151,548,799,32
9,unfamiliar with the college; it is remarkably brief - hardly two,151,585,798,32
9,pages long - and addressed 'To the Students of Yale-College.4,151,622,792,33
9,Yale's catalogue is physically unimpressive and highly functional.,151,660,796,32
9,"It reflects a transitional moment for libraries, for philanthropy and",150,698,798,32
9,"indeed for the American colonies. By 1743, Yale's library might",150,735,799,32
9,"not have been ideally stocked, but it served a college more amply",150,773,799,33
9,resourced than it had ever been and a colony with better access to,151,809,798,32
9,local learning than it had ever had. Yale no longer needed to make,151,848,799,32
9,obsequious cries of poverty abroad: with the publication of the,152,885,798,32
9,"1743 catalogue, the college ceased to advertise its weaknesses and",152,922,796,33
9,began to assert its strengths.,151,960,331,32
9,"Portable, relatively inexpensive, produced in quantity, the library",178,998,771,32
9,catalogue as a form of printed matter uniquely enabled transatlantic,151,1035,799,32
9,philanthropy in the early 18th century. College leaders and their,152,1072,797,33
9,agents abroad worked together to build a strategic network of,150,1110,803,32
9,influential supporters for the cause of colonial education. The first,150,1147,799,32
9,Harvard library catalogue in particular was created as a tool for,150,1184,799,32
9,"salesmanship, meant in the short term to increase the library's hold-",151,1222,798,33
9,ings and only in the longer term to advance the learning that might,151,1260,798,32
9,result. The underlying irony of flibrary-building in this period is that,151,1298,799,32
9,"by underscoring the poverty of colonial education, catalogues and",150,1335,798,33
9,the agents who deployed them succeeded in vastly enriching it.,151,1373,746,32
9,"42. A Catalogue of the Library of Yale-College in New-Haven, [A2r].",150,1530,616,25
9,78,536,1603,27,24
10,"16 Lambeth 2030 Our Future, Our Lambeth",78,75,454,20
10,"Lambeth 2030 Our Future, Our Lambeth",2772,75,412,20
10,17,3200,75,26,19
10,DIVERSE,322,352,328,57
10,SAFE,1042,353,280,85
10,BOROUGH,321,447,262,39
10,AREAS,1080,471,243,56
10,VIBRANT,317,522,226,38
10,PARKS,1153,562,170,40
10,"Our Future, Our Lambeth",1810,515,1120,88
10,CARE,319,588,117,32
10,FAIR,322,682,182,63
10,FRIENDLY,1136,696,188,30
10,INCLUSIVE,320,776,231,35
10,PEOPLE,1085,754,237,47
10,Our Vision Statement,1810,740,593,48
10,WELCOMING,318,844,316,37
10,THRIVING,1035,832,287,46
10,Lambeth - a borough with social and climate justice,1811,844,1234,48
10,at its heart. By harnessing the power and pride of our,1810,899,1270,48
10,GREEN SPACES,521,938,249,25
10,PARKS,521,977,108,25
10,LAMBETH,1196,981,255,40
10,"people and partnerships, we will proactively tackle",1810,955,1202,47
10,SPACES,521,1017,128,25
10,inequalities so that children and young people can have,1810,1011,1321,48
10,the best start in life and so everyone can feel safe and,1809,1065,1282,49
10,SUSTAINABLE,517,1104,268,30
10,AFFORDABLE,1193,1105,220,25
10,SHOPS,1194,1144,112,26
10,thrive in a place of opportunity.,1809,1122,737,48
10,LOCAL,518,1156,191,43
10,OPPORTUNITY,1194,1183,236,26
10,Our Commitments,1810,1226,437,39
10,Our 2030 Ambitions,2503,1227,465,38
10,The vision,155,1299,240,38
10,Our Commitments,849,1299,438,39
10,for Lambeth,1808,1282,291,38
10,The Golden Thread - A Borough of Equity,2501,1309,515,28
10,and Justice,2502,1342,143,22
10,for Lambeth,848,1355,290,38
10,1. We get the basics right and deliver great,1810,1363,565,28
10,Through listening and building on what we already,155,1382,598,27
10,public services that fit what people need,1842,1397,534,27
10,"know, we've created a vision for the future of",157,1415,533,25
10,1. Making Lambeth Neighbourhoods,2503,1409,453,27
10,To deliver this vision requires individual and collective,848,1437,627,27
10,-,1821,1448,11,7
10,Lambeth that's rooted in what people want. This is a,156,1449,625,27
10,We will take a one borough approach to deliver,1840,1439,584,28
10,Fit for the Future,2535,1441,204,23
10,vision that belongs to everyone.,155,1482,377,27
10,commitment and action. This means the Council and,849,1471,630,22
10,our services consistently and well,1841,1472,416,27
10,Lambeth's communities and organisations coming,849,1504,599,27
10,2. Making Lambeth One of the Safest,2502,1507,464,27
10,Achieving this future vision of Lambeth comes down,155,1549,622,27
10,together and standing as one to transform the ways,850,1538,616,27
10,2. People have a say and stake in the decisions,1809,1537,623,28
10,Boroughs in London,2534,1540,251,27
10,"to all of us. We are all connected, and we all have a",155,1582,612,26
10,we work.,848,1572,109,21
10,that matter,1841,1571,148,22
10,"stake in Lambeth to make it the best place to live,",156,1615,592,27
10,- We will be a listening and open borough that,1821,1612,571,27
10,3. Making Lambeth A Place We Can All,2502,1604,486,28
10,work and visit in the UK.,155,1649,289,22
10,"By listening to our communities, understanding their",849,1638,620,27
10,recognises and values our community voices,1841,1645,557,27
10,Call Home,2534,1639,129,22
10,"experiences, and aligning our priorities with theirs, we",849,1671,636,27
10,From our conversations we know people agree with a,156,1715,640,27
10,"can build confidence between Lambeth's institutions,",849,1704,634,26
10,"3. We work together in partnership, to harness",1809,1710,614,28
10,group of core priorities and ambitions for the future of,156,1749,637,27
10,"businesses, community groups and organisations,",849,1738,597,27
10,what makes Lambeth special,1840,1743,388,28
10,Lambeth. They are ready to come together and bring,156,1782,632,28
10,"and residents, and we can ensure that the changes",849,1771,611,27
10,- We will collaborate with our people and partners,1821,1784,616,28
10,"this vision to life, and there is also strong support in",155,1815,609,28
10,"we make, and the partnerships we form, are all",848,1804,561,28
10,to innovate and implement together,1847,1818,445,27
10,"the shift towards taking a longer-term view, SO that we",155,1849,645,27
10,"contributing to improving the lives of those who live,",849,1838,615,28
10,are ready for the unforeseen challenges of the future.,155,1882,626,28
10,"work, learn and visit our borough.",848,1871,399,27
10,"4. We are accessible, transparent and we stand",1808,1883,625,27
10,up to challenges,1840,1916,219,27
10,- We will focus on what our residents want and be,1821,1956,620,23
10,"honest about what we can and can't do, whilst",1841,1990,580,25
10,being courageous to take bold action,1841,2024,462,27
11,"26 I Lambeth 2030 Our Future, Our Lambeth",77,72,456,25
11,Lambeth 2030 Our Future,2772,73,260,23
11,impacting lifelong health - this needs to change now.,155,741,631,35
11,the forefront of Lambeth's partnerships and strategies;,848,741,637,35
11,Whilst we have an array of programmes underway,155,775,599,35
11,"as highlighted in the Health and Wellbeing Strategy,",848,774,644,36
11,"to clean up Lambeth's air, the work we do with",155,809,556,30
11,SO it is a place where all people can experience good,849,808,622,35
11,our partners and local communities will need to,156,842,563,30
11,health and wellbeing and where healthy life expectancy,849,841,645,35
11,go further and act more quickly in order to achieve,156,875,600,32
11,is improved for those groups within the population,848,875,588,34
11,our objectives.,156,910,172,28
11,whose outcomes are the poorest.,848,910,396,31
11,Healthy active lives,159,981,454,50
11,Central to our collective approach is ensuring that,849,974,591,35
11,every Lambeth resident has the best start in life.,849,1009,569,30
11,"Through our local partnerships, we will develop safe",848,1041,618,34
11,Good health and wellbeing are fundamental to us,156,1063,587,34
11,and secure places for young people and children,848,1075,581,33
11,leading full and rewarding lives and it is our ambition,155,1097,620,33
11,"to socialise and develop their personal skills,",848,1109,528,32
11,that Lambeth is a place where people are able and,155,1130,605,33
11,through supporting positive emotional health and,848,1141,583,32
11,supported to have this.,156,1167,274,28
11,wellbeing including helping our most disadvantaged,848,1175,617,34
11,"However, we know across Lambeth the benefits",157,1230,572,29
11,young people with access to sports facilities and,848,1210,580,31
11,training programmes.,848,1243,254,30
11,"of good physical, mental and social wellbeing are",155,1264,585,34
11,not being felt by everyone. Healthy life expectancy,156,1297,597,34
11,Alongside our vision that all young people have the,848,1308,606,34
11,"unfairly differs in different areas of the borough, with",156,1330,614,34
11,best start is that we enable our residents of all ages,849,1341,613,34
11,"the poorest communities and those from Black,",155,1365,566,32
11,to live fulfilling and rewarding lives. Our residents must,848,1375,642,34
11,Asian and Multi-Ethnic backgrounds having the worst,155,1397,638,34
11,have access to high-quality health and leisure services,849,1408,646,33
11,outcomes across a wide range of health measures.,155,1431,609,32
11,"and by working with our health partners, businesses",849,1441,622,33
11,and by recognising the value of community groups,848,1475,602,34
11,"Through our Lambeth Together Care Partnership,",155,1497,627,35
11,"in supporting better health, we will focus on the",848,1508,564,31
11,"bringing together the NHS, local authority, the",156,1531,536,33
11,prevention of long-term conditions and support,849,1542,562,33
11,"voluntary sector and others, we are focussed on",155,1565,569,30
11,those at risk of physical and/or mental health issues,848,1576,617,32
11,improving health and wellbeing in Lambeth and,155,1597,555,33
11,to access the right early help and resources. This,848,1609,585,32
11,reducing inequalities for people in Lambeth through,156,1630,604,34
11,requires a whole systems approach and a focus to,849,1641,602,33
11,an integrated health and care system. We must,155,1665,558,32
11,continue to work collectively and draw on our shared,156,1697,621,32
11,support our most vulnerable by developing inclusive,849,1677,618,32
11,"intelligence about the borough, listen to local people",155,1730,613,34
11,and innovative programmes and sports partnerships,848,1708,623,34
11,"across health, leisure and a range of activities. As",848,1742,587,33
11,to understand the needs of their communities and,154,1765,589,28
11,build our understanding of what really works to tackle,156,1797,627,33
11,"part of this, we will create environments that promote",849,1775,633,35
11,"active travel, physical activity and healthy choices.",849,1809,594,33
11,health inequalities. Lambeth is working together in,156,1830,587,34
11,From increasing spaces for people to connect around,849,1841,638,33
11,"partnership, with action already underway, connecting",156,1864,633,34
11,"their health, as well as their areas and communities to",848,1875,640,30
11,us together and enabling us to address these,155,1898,534,32
11,challenges and better understand the impact of wider,156,1931,630,32
11,improving the availability and consumption of healthy,848,1908,629,35
11,"and affordable food in Lambeth, there are remarkable",849,1941,635,31
11,"determinants of health such as housing, the economy,",156,1964,635,34
11,solutions happening across the borough to help,848,1976,570,34
11,"employment and the environment on local inequalities,",156,1998,637,33
11,people flourish.,849,2011,180,28
11,with a clear focus on prevention. It is through this,155,2030,577,34
11,continued cross-organisational working and civic,155,2065,574,33
11,involvement that we can put health and wellbeing at,155,2097,610,34
12,MCC-H,286,1812,28,104
12,0053 CST,271,1606,28,125
12,FLIGHT PLAN,228,954,52,321
12,NOTES,279,238,30,107
12,244:00,324,1591,26,93
12,SIM EXP STATUS,336,261,33,217
12,(*0001),368,324,34,104
12,(01001),400,324,34,104
12,DAP LOAD STATUS,430,247,33,232
12,(11101) (01111),460,263,38,212
12,:20,512,1587,25,43
12,:40,702,1586,26,44
12,S,840,1514,24,15
12,T,871,1513,24,16
12,245:00,891,1586,27,93
12,REST PERIOD,872,916,30,173
12,D,903,1512,24,16
12,UV/PTC,874,572,29,93
12,(8 HOURS),902,934,35,134
12,N,935,1512,24,17
12,GALACTIC SCAN,904,524,30,203
12,:20,1082,1583,25,42
12,:40,1269,1582,24,43
12,246:00,1455,1580,26,93
12,MISSION,1498,1636,28,134
12,EDITION,1496,1404,28,127
12,DATE,1495,1128,27,79
12,TIME,1493,785,27,72
12,DAY/REV,1489,420,30,140
12,PAGE,1489,254,27,87
12,APOLLO 17,1542,1635,28,139
12,FINAL (12/6),1541,1389,34,181
12,10/23/72,1537,1111,28,124
12,244:00 - 246:00,1538,714,29,235
12,11/TEC,1537,450,28,91
12,3-357,1533,264,25,73
12,FLIGHT PLANNING BRANCH,1573,789,37,437
13,CSM FLIGHT PLAN,218,910,32,307
13,129:00,296,1850,17,60
13,SIM EXP STATUS,297,1136,18,139
13,129:30,292,978,16,58
13,CMDS: (AOS +68 MIN),298,694,23,187
