image,page,label,color,xmin,ymin,xmax,ymax,text
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",1671.0,1586.0,1830.0,1620.0,London
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",1702.0,2319.0,1915.0,2353.0,New York
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",506.0,2377.0,665.0,2411.0,London
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,NAME,"(0, 0, 0)",451.0,2622.0,1182.0,2957.0,Thally hilliavi
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,SIGNATURE,"(0, 0, 0)",450.0,2626.0,1182.0,2980.0,SIGNATURE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,HANDWRITING,"(0, 0, 0)",818.0,2681.0,1182.0,2905.0,hilliavi
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,SIGNATURE,"(0, 0, 0)",1623.0,2696.0,2266.0,3072.0,SIGNATURE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,HANDWRITING,"(0, 0, 0)",1627.0,2717.0,1770.0,2882.0,Nan
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,NAME,"(0, 0, 0)",1627.0,2717.0,1795.0,2930.0,Nan Ken
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,NAME,"(0, 0, 0)",658.0,2896.0,1078.0,2943.0,Rudolph W. Giuliani
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",1789.0,2999.0,1946.0,3034.0,London
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",733.0,3001.0,942.0,3037.0,New York
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1416.0,673.0,2207.0,854.0,Long Beach
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1407.0,848.0,1754.0,959.0,California
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1235.0,1249.0,1612.0,1305.0,Long Beach
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1020.0,1310.0,1387.0,1363.0,California
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1020.0,1310.0,1558.0,1363.0,California USA
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1426.0,1312.0,1558.0,1353.0,USA
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1086.0,1413.0,1763.0,1458.0,San Pablo de Manta
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",884.0,1477.0,1695.0,1528.0,"Ecuador, South America"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1847.0,1590.0,2037.0,1628.0,"Long Beach,"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",555.0,1626.0,818.0,1662.0,"California, USA"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1084.0,1626.0,1564.0,1660.0,"San Pablo de Manta, Ecuador"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1084.0,1626.0,1823.0,1660.0,"San Pablo de Manta, Ecuador South America"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1577.0,1626.0,1823.0,1659.0,South America
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1202.0,1793.0,1521.0,1827.0,San Pablo de Manta
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",753.0,1795.0,931.0,1833.0,Long Beach
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1639.0,2160.0,1806.0,2200.0,California
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1639.0,2160.0,1909.0,2200.0,California USA
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1821.0,2160.0,1909.0,2195.0,USA
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",707.0,2196.0,1420.0,2230.0,San Pablo de Mania Ecuador South America
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1038.0,2196.0,1173.0,2230.0,Ecuador
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",707.0,2197.0,1028.0,2230.0,San Pablo de Mania
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1182.0,2197.0,1420.0,2227.0,South America
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,SIGNATURE,"(0, 0, 0)",1415.0,2308.0,1866.0,2486.0,SIGNATURE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,NAME,"(0, 0, 0)",1497.0,2429.0,1699.0,2474.0,Beperly D
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,NAME,"(0, 0, 0)",1497.0,2429.0,1809.0,2474.0,Beperly D Neill
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,NAME,"(0, 0, 0)",1704.0,2429.0,1809.0,2465.0,Neill
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1692.0,2478.0,1921.0,2523.0,Long Beach
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1486.0,2527.0,1805.0,2569.0,"California, USA"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,SIGNATURE,"(0, 0, 0)",1252.0,2542.0,1740.0,2751.0,SIGNATURE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,NAME,"(0, 0, 0)",1439.0,2565.0,1728.0,2715.0,Paulus
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,NAME,"(0, 0, 0)",1343.0,2721.0,1964.0,2766.0,Ing Jorge O. Zambrano Cedeño
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,NAME,"(0, 0, 0)",1428.0,2721.0,1964.0,2766.0,Jorge O. Zambrano Cedeño
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,NAME,"(0, 0, 0)",1343.0,2723.0,1418.0,2766.0,Ing
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1592.0,2769.0,1995.0,2805.0,San Pablo de Manta
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_5.png,6,ADDRESS,"(0, 0, 0)",1408.0,2818.0,1886.0,2857.0,"Ecuador, South America"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,NAME,"(0, 0, 0)",1419.0,709.0,1865.0,746.0,RICHARD M. DALEY
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",1466.0,762.0,1677.0,799.0,CHICAGO
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,NAME,"(0, 0, 0)",1434.0,862.0,1848.0,898.0,ZHANG RONGMAO
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",1443.0,903.0,1697.0,939.0,SHENYANG
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",1342.0,1254.0,1498.0,1300.0,Chicago
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",1602.0,1256.0,1789.0,1299.0,Shenyang
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,NAME,"(0, 0, 0)",1878.0,1356.0,2213.0,1400.0,Zhang Rongmao
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,NAME,"(0, 0, 0)",507.0,1358.0,866.0,1399.0,Richard M. Daley
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",1312.0,1360.0,1479.0,1403.0,Chicago
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",773.0,1410.0,969.0,1455.0,Shenyang
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",1315.0,1465.0,1471.0,1510.0,Chicago
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",902.0,1566.0,1059.0,1612.0,Chicago
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,ADDRESS,"(0, 0, 0)",1038.0,1830.0,1196.0,1873.0,Chicago
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,HANDWRITING,"(0, 0, 0)",1510.0,2474.0,2065.0,2683.0,3hth
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,SIGNATURE,"(0, 0, 0)",405.0,2487.0,1342.0,2808.0,SIGNATURE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,NAME,"(0, 0, 0)",1861.0,2706.0,2232.0,2740.0,ZHANG RONGMAO
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,NAME,"(0, 0, 0)",865.0,2711.0,1277.0,2744.0,RICHARD M. DALEY
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,HANDWRITING,"(0, 0, 0)",502.0,2714.0,587.0,2745.0,THE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_6.png,7,NAME,"(0, 0, 0)",1723.0,2757.0,1949.0,2790.0,SHENYANG
